Rank,Movie_name,Year,Certificate,Runtime_in_min,Genre,Metascore,Gross_in_$_M,Rating_from_10
1,The Shawshank Redemption,1994,R,142,Drama,81.0,28.34,9.3
2,The Godfather,1972,R,175,"Crime, Drama",100.0,134.97,9.2
3,The Dark Knight,2008,PG-13,152,"Action, Crime, Drama",84.0,534.86,9.0
4,The Lord of the Rings: The Return of the King,2003,PG-13,201,"Action, Adventure, Drama",94.0,377.85,9.0
5,Schindler's List,1993,R,195,"Biography, Drama, History",94.0,96.90,9.0
6,The Godfather Part II,1974,R,202,"Crime, Drama",90.0,57.30,9.0
7,12 Angry Men,1957,Approved,96,"Crime, Drama",96.0,4.36,9.0
8,777 Charlie,2022,UA,136,"Adventure, Comedy, Drama",,,8.9
9,Pulp Fiction,1994,R,154,"Crime, Drama",94.0,107.93,8.9
10,Rocketry: The Nambi Effect,2022,UA,157,"Biography, Drama",,,8.8
11,Jai Bhim,2021,TV-MA,164,"Crime, Drama, Mystery",,#233,8.8
12,Inception,2010,PG-13,148,"Action, Adventure, Sci-Fi",74.0,292.58,8.8
13,The Lord of the Rings: The Two Towers,2002,PG-13,179,"Action, Adventure, Drama",87.0,342.55,8.8
14,Fight Club,1999,R,139,Drama,66.0,37.03,8.8
15,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,"Action, Adventure, Drama",92.0,315.54,8.8
16,Forrest Gump,1994,PG-13,142,"Drama, Romance",82.0,330.25,8.8
17,"The Good, the Bad and the Ugly",1966,Approved,178,"Adventure, Western",90.0,6.10,8.8
18,Soorarai Pottru,2020,TV-MA,153,Drama,,,8.7
19,The Matrix,1999,R,136,"Action, Sci-Fi",73.0,171.48,8.7
20,Goodfellas,1990,R,145,"Biography, Crime, Drama",91.0,46.84,8.7
21,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,"Action, Adventure, Fantasy",82.0,290.48,8.7
22,One Flew Over the Cuckoo's Nest,1975,R,133,Drama,84.0,112.00,8.7
23,Sita Ramam,2022,U,163,"Action, Drama, Mystery",,,8.6
24,Interstellar,2014,PG-13,169,"Adventure, Drama, Sci-Fi",74.0,188.02,8.6
25,City of God,2002,R,130,"Crime, Drama",79.0,7.56,8.6
26,Spirited Away,2001,PG,125,"Animation, Adventure, Family",96.0,10.06,8.6
27,Saving Private Ryan,1998,R,169,"Drama, War",91.0,216.54,8.6
28,The Green Mile,1999,R,189,"Crime, Drama, Fantasy",61.0,136.80,8.6
29,Life Is Beautiful,1997,PG-13,116,"Comedy, Drama, Romance",59.0,57.60,8.6
30,Se7en,1995,R,127,"Crime, Drama, Mystery",65.0,100.13,8.6
31,Terminator 2: Judgment Day,1991,R,137,"Action, Sci-Fi",75.0,204.84,8.6
32,The Silence of the Lambs,1991,R,118,"Crime, Drama, Thriller",85.0,130.74,8.6
33,Star Wars: Episode IV - A New Hope,1977,PG,121,"Action, Adventure, Fantasy",90.0,322.74,8.6
34,Harakiri,1962,Not Rated,133,"Action, Drama, Mystery",85.0,#44,8.6
35,Seven Samurai,1954,Not Rated,207,"Action, Drama",98.0,0.27,8.6
36,It's a Wonderful Life,1946,PG,130,"Drama, Family, Fantasy",89.0,#21,8.6
37,Kaithi,2019,Not Rated,145,"Action, Adventure, Crime",,,8.5
38,96,II 2018,Not Rated,158,"Drama, Romance",,,8.5
39,Parasite,2019,R,132,"Drama, Thriller",96.0,53.37,8.5
40,Whiplash,2014,R,106,"Drama, Music",89.0,13.09,8.5
41,The Intouchables,2011,R,112,"Biography, Comedy, Drama",57.0,13.18,8.5
42,The Prestige,2006,PG-13,130,"Drama, Mystery, Sci-Fi",66.0,53.09,8.5
43,The Departed,2006,R,151,"Crime, Drama, Thriller",85.0,132.38,8.5
44,The Pianist,2002,R,150,"Biography, Drama, Music",85.0,32.57,8.5
45,Gladiator,2000,R,155,"Action, Adventure, Drama",67.0,187.71,8.5
46,American History X,1998,R,119,"Crime, Drama",62.0,6.72,8.5
47,The Usual Suspects,1995,R,106,"Crime, Drama, Mystery",77.0,23.34,8.5
48,Léon: The Professional,1994,R,110,"Action, Crime, Drama",64.0,19.50,8.5
49,The Lion King,1994,G,88,"Animation, Adventure, Drama",88.0,422.78,8.5
50,Cinema Paradiso,1988,R,155,"Drama, Romance",80.0,11.99,8.5
51,Grave of the Fireflies,1988,Not Rated,89,"Animation, Drama, War",94.0,#45,8.5
52,Back to the Future,1985,PG,116,"Adventure, Comedy, Sci-Fi",87.0,210.61,8.5
53,Apocalypse Now,1979,R,147,"Drama, Mystery, War",94.0,83.47,8.5
54,Alien,1979,R,117,"Horror, Sci-Fi",89.0,78.90,8.5
55,Once Upon a Time in the West,1968,PG-13,165,Western,80.0,5.32,8.5
56,Psycho,1960,R,109,"Horror, Mystery, Thriller",97.0,32.00,8.5
57,Rear Window,1954,PG,112,"Mystery, Thriller",100.0,36.76,8.5
58,Casablanca,1942,PG,102,"Drama, Romance, War",100.0,1.02,8.5
59,Modern Times,1936,G,87,"Comedy, Drama, Romance",96.0,0.16,8.5
60,City Lights,1931,G,87,"Comedy, Drama, Romance",99.0,0.02,8.5
61,Asuran,2019,Not Rated,141,"Action, Drama",,,8.4
62,Vikram,2022,UA,175,"Action, Crime, Thriller",,,8.4
63,Hamilton,2020,PG-13,160,"Biography, Drama, History",89.0,#107,8.4
64,Capernaum,2018,R,126,Drama,75.0,1.66,8.4
65,Joker,I 2019,R,122,"Crime, Drama, Thriller",59.0,335.45,8.4
66,Your Name.,2016,PG,106,"Animation, Drama, Fantasy",79.0,5.02,8.4
67,Spider-Man: Into the Spider-Verse,2018,PG,117,"Animation, Action, Adventure",87.0,190.24,8.4
68,Avengers: Endgame,2019,PG-13,181,"Action, Adventure, Drama",78.0,858.37,8.4
69,Avengers: Infinity War,2018,PG-13,149,"Action, Adventure, Sci-Fi",68.0,678.82,8.4
70,Coco,I 2017,PG,105,"Animation, Adventure, Comedy",81.0,209.73,8.4
71,Django Unchained,2012,R,165,"Drama, Western",81.0,162.81,8.4
72,Top Gun: Maverick,2022,PG-13,130,"Action, Drama",78.0,#89,8.4
73,Kantara,2022,UA,148,"Action, Adventure, Drama",,,8.4
74,The Dark Knight Rises,2012,PG-13,164,"Action, Drama",78.0,448.14,8.4
75,Drishyam 2,2021,13,152,"Crime, Drama, Thriller",,,8.4
76,3 Idiots,2009,PG-13,170,"Comedy, Drama",67.0,6.53,8.4
77,Shershaah,2021,TV-14,135,"Action, Biography, Drama",,,8.4
78,Sardar Udham,2021,TV-MA,164,"Biography, Crime, Drama",,,8.4
79,Like Stars on Earth,2007,PG,165,"Drama, Family",,1.22,8.4
80,WALL·E,2008,G,98,"Animation, Adventure, Family",95.0,223.81,8.4
81,The Lives of Others,2006,R,137,"Drama, Mystery, Thriller",89.0,11.29,8.4
82,Oldboy,2003,R,101,"Action, Drama, Mystery",77.0,0.71,8.4
83,Memento,2000,R,113,"Mystery, Thriller",81.0,25.54,8.4
84,American Beauty,1999,R,122,Drama,84.0,130.10,8.4
85,Princess Mononoke,1997,PG-13,134,"Animation, Action, Adventure",76.0,2.38,8.4
86,Braveheart,1995,R,178,"Biography, Drama, History",68.0,75.60,8.4
87,Come and See,1985,Not Rated,142,"Drama, Thriller, War",,#95,8.4
88,Aliens,1986,R,137,"Action, Adventure, Sci-Fi",84.0,85.16,8.4
